tissue	phecode	beta	p-value	gene	trait	r2	OR	no of cases	no of controls
Heart_Atrial_Appendage	X459.9	0.853709	3.60835e-5	DCBLD2	Circulatory disease NEC	3.96552e-2	1.22021e+0	405	17257
Spleen	X528.11	1.09291	3.61018e-5	FAAH	Stomatitis and mucositis (ulcerative)	3.37965e-1	1.57635e+0	86	21574
Whole_Blood	X504	2.12351	3.61877e-5	ZMYND8	Other alveolar and parietoalveolar pneumonopathy	6.90573e-2	1.33404e+0	232	13235
Breast_Mammary_Tissue	X724.1	-7.36868	3.61882e-5	EFNB3	Disorders of sacrum	6.36166e-2	5.19550e-1	20	17801
Brain_Putamen_basal_ganglia	X447	0.305087	3.62132e-5	EIF3D	Other disorders of arteries and arterioles	2.34367e-1	1.26170e+0	325	16965
Testis	X536.8	1.50963	3.62201e-5	GRAMD1A	Dyspepsia and other specified disorders of function of stomach	2.21254e-2	1.31961e+0	227	19809
Adipose_Subcutaneous	X274	0.782895	3.62385e-5	SLC2A9	Gout and other crystal arthropathies	5.80881e-2	1.13132e+0	1216	21410
Adrenal_Gland	X752.1	-4.44041	3.62403e-5	DHODH	Neural tube defects	2.83064e-2	4.87939e-1	53	22702
Nerve_Tibial	X724.1	-3.26585	3.62444e-5	EFNB3	Disorders of sacrum	5.53142e-2	4.94928e-1	20	17801
Artery_Coronary	X522	-2.31501	3.63664e-5	EXOC2	Diseases of pulp and periapical tissues	4.25835e-2	6.00714e-1	59	21330
Ovary	X189.11	0.96651	3.63699e-5	DNAH7	Malignant neoplasm of kidney, except pelvis	5.52978e-2	1.22893e+0	460	22100
Esophagus_Mucosa	X946	-1.11811	3.66072e-5	GRIN3B	Anaphylactic shock NOS	1.48455e-1	6.52695e-1	88	18931
Brain_Cortex	X81	0.201624	3.69687e-5	OSGEP	Infection/inflammation of internal prosthetic device; implant; and graft	4.70503e-1	1.14680e+0	1000	20543
Nerve_Tibial	X347	2.64447	3.69907e-5	ATP6V0B	Cataplexy and narcolepsy	2.26598e-1	1.60868e+0	21	17257
Pancreas	X441.1	1.47052	3.71130e-5	SLC8B1	Acute vascular insufficiency of intestine	5.16301e-2	1.38625e+0	77	16965
Lung	X288.1	-0.601297	3.71447e-5	ESRRB	Decreased white blood cell count	1.00742e-1	8.76578e-1	1051	16202
Brain_Nucleus_accumbens_basal_ganglia	X756.3	2.3906	3.71489e-5	MYO3A	Congenital anomalies of muscle, tendon, fascia, and connective tissue	4.43506e-2	1.91182e+0	26	22558
Heart_Left_Ventricle	X441	0.536968	3.71683e-5	FOXRED2	Vascular insufficiency of intestine	1.99537e-1	1.29255e+0	168	16965
Nerve_Tibial	X614.1	3.67519	3.72314e-5	ENO3	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	7.25559e-2	1.99755e+0	31	10365
Spleen	X790	-1.1556	3.72523e-5	MAPK8IP2	Nonspecific findings on examination of blood	5.88256e-2	6.74196e-1	109	19934
Esophagus_Mucosa	X599.6	0.732127	3.72534e-5	MDGA1	Oliguria and anuria	5.72403e-1	1.55580e+0	90	16444
Cells_Transformed_fibroblasts	X604.3	2.56801	3.72555e-5	KCNIP2	Peyronie's disease	3.39178e-2	1.49219e+0	51	8138
Adipose_Subcutaneous	X721.1	0.48762	3.72862e-5	TPD52L1	Spondylosis without myelopathy	8.08314e-2	1.12281e+0	1416	17801
Heart_Left_Ventricle	X818	-1.46768	3.73102e-5	PCSK4	Intracranial hemorrhage (injury)	2.03051e-2	7.59714e-1	230	22261
Cells_Transformed_fibroblasts	X574.3	-1.1643	3.73193e-5	TRMT2A	Cholecystitis without cholelithiasis	3.04453e-2	8.02754e-1	260	20771
Adipose_Visceral_Omentum	X41.11	1.82273	3.73631e-5	CD160	Methicillin sensitive Staphylococcus aureus	2.22051e-2	1.19942e+0	579	18352
Artery_Coronary	X204.11	1.57414	3.74681e-5	SYDE2	Lymphoid leukemia, acute	4.82007e-2	1.40144e+0	155	21574
Brain_Frontal_Cortex_BA9	X172.3	0.690383	3.74699e-5	MMP2	Carcinoma in situ of skin	1.30971e-1	1.42427e+0	130	19049
Whole_Blood	X840.1	-0.990908	3.74940e-5	CUL7	Muscle/tendon sprain	2.23161e-1	6.78384e-1	47	20163
Adipose_Visceral_Omentum	X355.1	0.775195	3.75124e-5	SERPIND1	Chronic pain syndrome	2.09739e-1	1.28857e+0	257	19768
Heart_Left_Ventricle	X249	-2.33579	3.75379e-5	POLR2E	Secondary diabetes mellitus	4.62544e-2	6.79947e-1	166	13897
Artery_Aorta	X250.7	-0.870922	3.76914e-5	SLC25A15	Diabetic retinopathy	1.02746e-1	8.25643e-1	479	20111
Muscle_Skeletal	X189.4	-40.1682	3.77561e-5	PFN2	Malignant neoplasm of other urinary organs	8.95780e-3	8.39215e-1	194	22100
Artery_Tibial	X749.2	-2.91423	3.77602e-5	AEBP1	Congenital anomalies of skull and face bones	1.25184e-1	5.60677e-1	26	22997
Brain_Putamen_basal_ganglia	X426.8	1.47217	3.77682e-5	TRAF5	Other cardiac conduction disorders	1.27680e-1	1.87927e+0	42	10731
Adrenal_Gland	X636.1	1.4458	3.79251e-5	TCFL5	Threatened premature labor	2.63956e-1	1.71293e+0	61	11199
Heart_Left_Ventricle	X555.1	0.887804	3.79554e-5	SYDE2	Regional enteritis	4.29529e-2	1.29667e+0	290	16064
Prostate	X872	-31.039	3.79714e-5	SLC38A7	Traumatic amputation	1.27967e-1	7.22608e-1	79	19977
Prostate	X512.1	-0.449618	3.79783e-5	CEP72	Wheezing	1.65383e-1	8.04944e-1	394	9186
Esophagus_Muscularis	X870.1	2.68552	3.80076e-5	SIGLEC5	Open wound or laceration of eye or eyelid	7.94908e-2	1.99485e+0	24	19977
Artery_Aorta	X655.1	12.2576	3.82721e-5	CYB5R3	Abnormality in fetal heart rate or rhythm	2.09864e-2	1.37578e+0	58	11198
Esophagus_Mucosa	X565	1.76244	3.83932e-5	OSBPL3	Anal and rectal conditions	1.52603e-2	1.18188e+0	500	19195
Lung	X743.2	3.00881	3.86049e-5	SIKE1	Pathologic fracture	1.18922e-2	1.23706e+0	450	17753
Artery_Tibial	X550	-3.08845	3.86657e-5	SCAMP1	Abdominal hernia	1.16409e-2	9.07963e-1	2027	19614
Nerve_Tibial	X260.1	1.32465	3.86922e-5	RRM2B	Cachexia	1.58810e-1	1.42584e+0	91	16572
Adipose_Subcutaneous	X189.1	0.584014	3.87301e-5	DNAH7	Cancer of kidney and renal pelvis	1.38882e-1	1.21517e+0	517	22100
Brain_Putamen_basal_ganglia	X530.6	-1.7531	3.87585e-5	NUP155	Diverticulum of esophagus, acquired	9.15429e-2	5.36524e-1	36	13499
Whole_Blood	X572	-0.933814	3.87724e-5	MRPL2	Ascites (non malignant)	1.73817e-2	8.68373e-1	1108	16784
Muscle_Skeletal	X41.4	-0.628035	3.87771e-5	SPDL1	E. coli	8.01038e-2	8.66943e-1	643	18352
Esophagus_Muscularis	X782.3	-0.422742	3.88685e-5	P2RX3	Edema	9.48829e-2	9.16164e-1	2801	17828
Esophagus_Mucosa	X429	-0.66602	3.88799e-5	SLC25A11	Ill-defined descriptions and complications of heart disease	6.16432e-2	8.82416e-1	1190	15149
Vagina	X370.31	-0.915188	3.89894e-5	HSD17B14	Keratoconjunctivitis sicca	1.32485e-1	7.74820e-1	214	20046
Brain_Caudate_basal_ganglia	X204.2	0.886315	3.90226e-5	TRIP4	Myeloid leukemia	9.58739e-2	1.22206e+0	331	21574
Artery_Aorta	X253	2.30104	3.90679e-5	FAM98A	Disorders of the pituitary gland and its hypothalamic control	4.51124e-2	1.29275e+0	300	19664
Skin_Not_Sun_Exposed_Suprapubic	X216	0.48164	3.90731e-5	SLC6A13	Benign neoplasm of skin	1.90843e-2	1.13461e+0	1089	20665
Skin_Sun_Exposed_Lower_leg	X480.2	-3.57054	3.92204e-5	MAT2B	Viral pneumonia	1.14091e-2	5.80150e-1	55	16775
Stomach	X276.13	0.480618	3.92298e-5	TAF1B	Hyperpotassemia	7.37019e-2	1.12503e+0	1373	13027
Small_Intestine_Terminal_Ileum	X530.11	-6.05898	3.93323e-5	ID2	GERD	9.38631e-2	9.32010e-1	4408	13499
Cells_Transformed_fibroblasts	X281.1	-0.422389	3.96287e-5	RASIP1	Megaloblastic anemia	2.78821e-1	8.37503e-1	566	13144
Artery_Aorta	X259.2	-3.23214	3.97085e-5	HPS1	Carcinoid syndrome	2.39678e-2	6.32947e-1	37	19664
Nerve_Tibial	X464	1.22651	3.97301e-5	SLC25A3	Acute sinusitis	1.88337e-2	1.11369e+0	1357	17862
Lung	X250.14	-1.18342	3.97862e-5	LILRB1	Type 1 diabetes with neurological manifestations	3.82684e-2	8.02042e-1	310	13897
Nerve_Tibial	X442.1	0.586979	3.98092e-5	COMT	Aortic aneurysm	1.92862e-1	1.22323e+0	717	16965
Colon_Sigmoid	X586.4	-1.16108	3.99777e-5	RASIP1	Stricture/obstruction of ureter	1.21954e-1	7.44887e-1	186	15383
Pituitary	X371.21	-0.759731	4.00079e-5	TMEM5	Allergic conjunctivitis	4.99041e-2	7.95921e-1	319	20046
Brain_Anterior_cingulate_cortex_BA24	X747.12	0.841308	4.02271e-5	PALD1	Valvular heart disease/ heart chambers	1.68691e-1	1.29621e+0	232	21722
Nerve_Tibial	X971	-0.665404	4.03691e-5	MTHFSD	Poisoning by drugs primarily affecting the autonomic nervous system	3.63485e-1	7.09176e-1	76	17731
Skin_Not_Sun_Exposed_Suprapubic	X352	0.969687	4.04420e-5	B3GAT2	Disorders of other cranial nerves	5.72165e-2	1.28678e+0	258	19768
Esophagus_Muscularis	X531.3	-1.55839	4.04657e-5	BTBD1	Duodenal ulcer	6.27459e-2	6.89616e-1	109	21823
Brain_Cerebellar_Hemisphere	X751.12	-3.58156	4.04801e-5	ZBED4	Congenital anomalies of male genital organs	2.23505e-1	5.55569e-1	36	10841
Liver	X578.8	0.81422	4.05152e-5	GLRX2	Hemorrhage of rectum and anus	8.67468e-2	1.23385e+0	414	17765
Brain_Nucleus_accumbens_basal_ganglia	X427.3	-0.490835	4.05572e-5	TACR2	Other specified cardiac dysrhythmias	1.38495e-1	8.96323e-1	1754	10731
Heart_Left_Ventricle	X191.11	-0.928603	4.06229e-5	BTBD1	Cancer of brain	4.50590e-2	7.76337e-1	245	22227
Adipose_Visceral_Omentum	X528.5	35.1414	4.07644e-5	TFDP2	Diseases of lips	2.16295e-2	2.06870e+0	24	21574
Muscle_Skeletal	X229	63.5192	4.08001e-5	SNX13	Benign neoplasm of unspecified sites	1.61706e-2	1.68614e+0	21	23029
Whole_Blood	X611.3	1.1432	4.08672e-5	TCERG1	Lump or mass in breast	1.10628e-2	1.18705e+0	610	20607
Muscle_Skeletal	X695.9	-3.56977	4.08822e-5	POLDIP2	Unspecified erythematous condition	1.24158e-2	6.72672e-1	96	19985
Heart_Atrial_Appendage	X290.3	-0.355844	4.09490e-5	HOMER2	Other persistent mental disorders due to conditions classified elsewhere	1.93893e-1	8.31760e-1	476	17533
Skin_Sun_Exposed_Lower_leg	X426.8	-4.84844	4.10122e-5	KIAA0100	Other cardiac conduction disorders	1.86878e-2	6.98564e-1	42	10731
Adrenal_Gland	X872	2.12466	4.10152e-5	ATP1B3	Traumatic amputation	4.11623e-2	1.54161e+0	79	19977
Stomach	X259.2	1.1879	4.10709e-5	MGRN1	Carcinoid syndrome	3.70041e-1	2.13661e+0	37	19664
Cells_Transformed_fibroblasts	X747.12	1.62934	4.13361e-5	AMPH	Valvular heart disease/ heart chambers	7.16193e-2	1.32627e+0	232	21722
Thyroid	X751.1	1.2163	4.14339e-5	FMO2	Congenital anomalies of genital organs	1.04807e-1	1.65368e+0	67	21786
Colon_Transverse	X592.11	-1.84256	4.14376e-5	HEBP2	Acute cystitis	1.49458e-1	6.70497e-1	44	16050
Artery_Tibial	X573.4	-1.39141	4.15071e-5	FBXO42	Acute and subacute necrosis of liver	4.80763e-2	6.95985e-1	119	16784
Muscle_Skeletal	X110.2	6.31494	4.15293e-5	ZNF37A	Dermatomycoses	2.19418e-2	1.85463e+0	35	19642
Cells_Transformed_fibroblasts	X361.1	0.875147	4.15845e-5	MEDAG	Retinal detachment with retinal defect	1.87908e-1	1.41382e+0	99	20443
Lung	X368.91	-1.23362	4.16261e-5	PNKP	Psychophysical visual disturbances	1.92170e-1	6.51726e-1	24	21265
Testis	X255.13	12.0563	4.17228e-5	RNF126	Medulloadrenal hyperfunction	2.41951e-2	2.16583e+0	21	19664
Pancreas	X599.2	0.467866	4.17465e-5	PTGR1	Retention of urine	1.04812e-1	1.14973e+0	907	16444
Colon_Transverse	X411.1	-0.649044	4.17660e-5	CLASRP	Unstable angina (intermediate coronary syndrome)	6.49362e-2	8.85663e-1	1440	13196
Colon_Sigmoid	X281.1	-0.685278	4.18253e-5	RASIP1	Megaloblastic anemia	1.21954e-1	8.40440e-1	566	13144
Adipose_Visceral_Omentum	X367.8	-3.89837	4.19320e-5	CLUL1	Hypermetropia	2.63527e-2	6.14677e-1	83	21421
Nerve_Tibial	X530.1	0.336638	4.20397e-5	LEPROTL1	Esophagitis, GERD and related diseases	7.97393e-2	1.07053e+0	4785	13499
Brain_Cortex	X366	-0.281862	4.21102e-5	VPS9D1	Cataract	2.34958e-1	9.13452e-1	2345	20102
Artery_Aorta	X170.1	-1.2935	4.21267e-5	PPP6R2	Bone cancer	1.09289e-1	7.63395e-1	226	22528
Whole_Blood	X429.3	0.990479	4.22019e-5	TCTN3	Symptoms involving cardiovascular system	7.11288e-2	1.21632e+0	373	15149
Lung	X418	-0.562258	4.22223e-5	GNA15	Nonspecific chest pain	2.58250e-2	9.40640e-1	8478	11624
Nerve_Tibial	X870.6	-7.32639	4.22419e-5	GALNT12	Open wound of neck	1.57071e-2	4.72325e-1	22	19977
Adrenal_Gland	X568	-0.620967	4.22466e-5	MDGA1	Other disorders of peritoneum	3.42802e-1	7.91976e-1	326	19195
Breast_Mammary_Tissue	X300.3	-1.87104	4.22663e-5	BCAT1	Obsessive-compulsive disorders	6.09758e-2	5.27887e-1	63	14456
Adrenal_Gland	X496.2	0.322554	4.22672e-5	LIN7B	Chronic bronchitis	8.21281e-2	1.16364e+0	754	17383
Artery_Tibial	X187	-4.673	4.22777e-5	LILRB1	Cancer of other male genital organs	4.16369e-2	6.07493e-1	58	10494
Pituitary	X749	-1.26841	4.23546e-5	TIMM21	Congenital anomalies of face and neck	2.18345e-1	5.93905e-1	57	22997
Adipose_Subcutaneous	X752.11	2.38694	4.24377e-5	BCHE	Spina bifida	1.03982e-1	1.81042e+0	44	22702
Cells_Transformed_fibroblasts	X592.11	-0.995741	4.24935e-5	HEBP2	Acute cystitis	3.73465e-1	6.75743e-1	44	16050
Cells_EBV-transformed_lymphocytes	X707	0.293842	4.24996e-5	PALD1	Chronic ulcer of skin	3.24211e-1	1.11788e+0	1308	21465
Heart_Left_Ventricle	X728.1	-3.52486	4.25065e-5	RAB11FIP3	Muscular calcification and ossification	3.71854e-2	5.56671e-1	28	17625
Brain_Cortex	X871.2	20.6594	4.25411e-5	ITCH	Open wound of finger(s)	4.55552e-2	1.35545e+0	117	19977
Brain_Nucleus_accumbens_basal_ganglia	X288.3	-1.11077	4.27378e-5	EIF2AK1	Eosinophilia	9.04141e-2	6.36954e-1	86	16202
Artery_Tibial	X249	-0.692558	4.27525e-5	POLR2E	Secondary diabetes mellitus	4.29714e-1	6.91358e-1	166	13897
Brain_Hippocampus	X556.11	-43.5261	4.28191e-5	PTGS1	Angiodysplasia of intestine (without mention of hemorrhage)	8.04243e-2	4.95771e-1	29	16064
Artery_Aorta	X571.6	-4.69954	4.28879e-5	ATP1B3	Primary biliary cirrhosis	2.57201e-2	6.42196e-1	95	16784
Stomach	X457	-0.573084	4.30549e-5	SPTLC1	Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin	2.44568e-2	8.77049e-1	1128	15674
Heart_Left_Ventricle	X303.4	-1.18113	4.31274e-5	HOMER2	Somatoform disorder	1.03386e-1	6.90671e-1	102	14456
Skin_Not_Sun_Exposed_Suprapubic	X726.2	1.94706	4.32277e-5	LEPROTL1	Synoviopathy	1.10365e-1	1.70205e+0	36	17625
Artery_Coronary	X717	0.440401	4.33437e-5	FBXO9	Polymyalgia Rheumatica	9.44787e-2	1.38199e+0	158	23042
Brain_Cerebellum	X286.4	-1.04714	4.33725e-5	PTPRH	Acquired coagulation factor deficiency	6.79905e-2	6.23918e-1	68	15873
Esophagus_Muscularis	X198.7	1.31218	4.34582e-5	WRAP73	Secondary malignant neoplasm of skin	2.17453e-1	1.37644e+0	178	17297
Spleen	X350.2	-0.434111	4.34848e-5	CHMP2B	Abnormality of gait	7.60744e-2	8.72297e-1	968	20508
Esophagus_Mucosa	X411.3	0.444973	4.35634e-5	DARS	Angina pectoris	7.93086e-2	1.12420e+0	1375	13196
Adipose_Visceral_Omentum	X528.5	5.5688	4.36202e-5	PIK3IP1	Diseases of lips	2.62505e-2	1.79787e+0	24	21574
Cells_Transformed_fibroblasts	X292.4	-0.273795	4.36433e-5	ZMYND8	Altered mental status	6.00782e-2	8.98489e-1	1624	17533
Pancreas	X870	0.268175	4.36437e-5	HMGXB3	Open wounds of head; neck; and trunk	3.17302e-1	1.15556e+0	786	19977
Colon_Transverse	X250.3	0.521869	4.37827e-5	MFN2	Insulin pump user	1.22120e-1	1.12354e+0	1334	13897
Muscle_Skeletal	X386.3	4.37517	4.38310e-5	ITGA6	Labyrinthitis	9.58951e-3	1.70867e+0	36	19218
Ovary	X172.11	1.25793	4.39194e-5	DPEP1	Melanomas of skin	6.26125e-2	1.20265e+0	466	19049
Skin_Not_Sun_Exposed_Suprapubic	X384	-4.77253	4.40133e-5	MIB1	Other disorders of tympanic membrane	2.05616e-2	7.06290e-1	81	20771
Cells_Transformed_fibroblasts	X961.1	2.64579	4.40240e-5	HLTF	Poisoning/allergy of sulfonamides	3.41050e-2	1.35530e+0	74	17731
Prostate	X568	-0.580453	4.40292e-5	MDGA1	Other disorders of peritoneum	3.77712e-1	7.91299e-1	326	19195
Esophagus_Muscularis	X346.1	-2.86509	4.41381e-5	COMT	Nonspecific abnormal findings on radiological and other examination of skull and head	2.88748e-2	7.27305e-1	63	17257
Cells_Transformed_fibroblasts	X458.2	3.93576	4.43056e-5	TROVE2	Iatrogenic hypotension	3.22133e-2	1.33943e+0	77	17257
Brain_Caudate_basal_ganglia	X556.11	-3.55873	4.43897e-5	LILRB1	Angiodysplasia of intestine (without mention of hemorrhage)	8.20479e-2	6.61643e-1	29	16064
Esophagus_Mucosa	X282.5	-2.06314	4.44609e-5	ST3GAL4	Sickle cell anemia	9.70623e-2	6.53309e-1	44	13144
Adipose_Subcutaneous	X249	-1.31032	4.44703e-5	POLR2E	Secondary diabetes mellitus	1.04306e-1	7.16026e-1	166	13897
Lung	X288.11	-0.660876	4.45694e-5	ESRRB	Neutropenia	1.00742e-1	8.65211e-1	844	16202
Brain_Cortex	X286.2	0.557797	4.46356e-5	AGMAT	Encounter for long-term (current) use of anticoagulants	6.11130e-2	1.08978e+0	2698	15873
Skin_Not_Sun_Exposed_Suprapubic	X741.3	0.743033	4.47074e-5	SNAP29	Difficulty in walking	1.40485e-1	1.24488e+0	426	19267
Esophagus_Muscularis	X681.1	1.54097	4.47138e-5	FMO2	Cellulitis and abscess of fingers/toes	5.54329e-2	1.30712e+0	305	18720
Brain_Frontal_Cortex_BA9	X70	-0.42047	4.47628e-5	DHODH	Viral hepatitis	1.99073e-1	8.54018e-1	626	19087
Artery_Tibial	X345.12	1.13374	4.51912e-5	TSPAN15	Partial epilepsy	7.93693e-2	1.27056e+0	314	17257
Thyroid	X528.11	5.1398	4.52006e-5	IFT43	Stomatitis and mucositis (ulcerative)	1.48612e-2	1.63471e+0	86	21574
Esophagus_Mucosa	X622	-5.36072	4.52403e-5	ST8SIA1	Polyp of female genital organs	1.15836e-2	6.82123e-1	102	11133
Colon_Transverse	X245.2	1.04249	4.52411e-5	BTN3A1	Chronic thyroiditis	2.44067e-1	1.36832e+0	127	17866
Prostate	X577.1	0.477703	4.52911e-5	PGC	Acute pancreatitis	5.36911e-2	1.29281e+0	280	22262
Esophagus_Muscularis	X686	-1.05506	4.53998e-5	BTNL8	Other local infections of skin and subcutaneous tissue	7.16058e-2	8.24305e-1	411	18720
Esophagus_Muscularis	X715.1	1.04966	4.54451e-5	POMC	Sacroiliitis NEC	8.96899e-2	1.26518e+0	182	19052
Whole_Blood	X495.2	0.641552	4.54480e-5	GSDMB	Asthma with exacerbation	2.98770e-1	1.30965e+0	242	17383
Heart_Left_Ventricle	X368.4	30.1669	4.54514e-5	PDGFB	Visual field defects	4.65796e-2	1.26280e+0	124	21265
Spleen	X259.2	2.58044	4.54967e-5	HMGXB3	Carcinoid syndrome	6.78624e-2	1.72256e+0	37	19664
Testis	X565.1	-1.49628	4.55562e-5	RASIP1	Anal and rectal polyp	3.26720e-1	4.99025e-1	39	19195
Colon_Sigmoid	X731	-2.56646	4.55722e-5	NID2	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	3.28977e-2	5.66550e-1	39	19040
Esophagus_Mucosa	X530.2	-0.970052	4.56088e-5	LILRB1	Esophageal bleeding (varices/hemorrhage)	1.22174e-1	8.19682e-1	431	13499
Skin_Sun_Exposed_Lower_leg	X70.2	-1.30331	4.56561e-5	CIAPIN1	Viral hepatitis B	1.78189e-1	7.07395e-1	86	19087
Cells_EBV-transformed_lymphocytes	X613	0.857244	4.59105e-5	HS3ST1	Other nonmalignant breast conditions	1.60071e-1	1.21645e+0	547	22039
Nerve_Tibial	X189.1	0.483464	4.59600e-5	DNAH7	Cancer of kidney and renal pelvis	2.18522e-1	1.21661e+0	517	22100
Brain_Putamen_basal_ganglia	X506	-0.387111	4.59691e-5	DNPH1	Empyema and pneumothorax	7.23474e-2	8.80920e-1	1052	13235
Heart_Atrial_Appendage	X395.2	-0.532373	4.59922e-5	DKKL1	Nonrheumatic aortic valve disorders	2.88770e-2	8.97477e-1	1644	16709
Colon_Transverse	X733.6	4.26839	4.60485e-5	LIN7B	Costochondritis	5.35491e-2	1.80168e+0	20	19040
Cells_Transformed_fibroblasts	X626.8	-5.7775	4.61453e-5	ZNF343	Infertility, female	1.29367e-2	3.79812e-1	20	7985
Ovary	X613.1	-1.24751	4.61726e-5	DTWD1	Inflammatory disease of breast	1.91212e-1	6.29378e-1	72	22039
Heart_Atrial_Appendage	X599.8	-2.25671	4.61814e-5	BRD9	Other symptoms involving urinary system	2.91390e-2	5.76903e-1	34	16444
Brain_Cortex	X245.2	1.6126	4.62351e-5	NAALAD2	Chronic thyroiditis	4.29327e-2	1.45572e+0	127	17866
Whole_Blood	X963.1	-0.437245	4.62635e-5	SIGLEC5	Antineoplastic and immunosuppressive drugs causing adverse effects	9.53775e-2	8.51504e-1	607	17731
Breast_Mammary_Tissue	X604.3	4.39511	4.62870e-5	DVL2	Peyronie's disease	2.56788e-2	1.54996e+0	51	8138
Brain_Cortex	X242.3	-9.67002	4.62930e-5	ZRANB1	Exophthalmos	4.12759e-2	6.32658e-1	36	17866
Esophagus_Muscularis	X425	-0.862826	4.63030e-5	CLASRP	Cardiomyopathy	8.77598e-2	8.95193e-1	2019	19395
Artery_Aorta	X752.11	3.48513	4.64886e-5	BCHE	Spina bifida	1.45622e-2	1.54491e+0	44	22702
Heart_Left_Ventricle	X351	-0.633197	4.64918e-5	WNT3	Other peripheral nerve disorders	6.63691e-2	8.86957e-1	1355	19768
Breast_Mammary_Tissue	X655	-12.5949	4.67033e-5	ZDHHC8	Known or suspected fetal abnormality affecting management of mother	5.69479e-2	7.93594e-1	234	11198
Artery_Tibial	X626.14	2.24257	4.67052e-5	DDX59	Irregular menstrual bleeding	1.18579e-1	1.82455e+0	42	7985
Heart_Atrial_Appendage	X747.12	-1.3218	4.67267e-5	DKKL1	Valvular heart disease/ heart chambers	2.88770e-2	7.64477e-1	232	21722
Thyroid	X180.3	-1.11595	4.67541e-5	CLUL1	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	3.17365e-1	7.39246e-1	130	9094
Brain_Hippocampus	X379.5	-1.93817	4.67566e-5	STIM2	Disorders of iris and ciliary body	5.89542e-2	6.04125e-1	60	20059
Cells_Transformed_fibroblasts	X264.9	-1.23618	4.68160e-5	DNTTIP1	Lack of normal physiological development, unspecified	1.31446e-1	6.88621e-1	108	16572
Heart_Left_Ventricle	X750.2	-12.2969	4.70925e-5	PPP1R13B	Lower gastrointestinal congenital anomalies	3.21989e-2	7.77732e-1	215	21786
Cells_EBV-transformed_lymphocytes	X701.1	1.65315	4.71890e-5	BRD9	Keratoderma, acquired	1.22047e-1	1.43319e+0	62	20618
Esophagus_Mucosa	X365.2	6.57088	4.72360e-5	ST8SIA1	Primary angle-closure glaucoma	1.15836e-2	1.59503e+0	76	20443
Breast_Mammary_Tissue	X368.91	-1.93703	4.72659e-5	PNKP	Psychophysical visual disturbances	8.33578e-2	6.42690e-1	24	21265
Artery_Aorta	X394.1	-0.692579	4.73786e-5	TMEM98	Mitral valve stenosis and aortic valve stenosis	1.27818e-1	7.77140e-1	250	16709
Adipose_Subcutaneous	X443.7	2.76328	4.74447e-5	VDR	Peripheral angiopathy in diseases classified elsewhere	2.60227e-2	1.73431e+0	51	16965
Whole_Blood	X473	0.797101	4.74781e-5	SCYL3	Diseases of the larynx and vocal cords	1.02601e-1	1.15845e+0	798	16459
Adrenal_Gland	X41	0.58511	4.75981e-5	NEK11	Bacterial infection NOS	6.52853e-2	1.08621e+0	2892	18352
Cells_Transformed_fibroblasts	X687.1	1.29768	4.76643e-5	POFUT1	Rash and other nonspecific skin eruption	2.52598e-2	1.11790e+0	1441	18045
Thyroid	X711.1	0.816668	4.77474e-5	HMGXB3	Pyogenic arthritis	1.45402e-1	1.32634e+0	147	18237
Testis	X571.8	-0.36221	4.77937e-5	CHFR	Liver abscess and sequelae of chronic liver disease	3.12613e-1	8.65096e-1	802	16784
Stomach	X803	-0.459316	4.79719e-5	PTK7	Fracture of upper limb	1.02929e-1	8.69667e-1	879	19279
Brain_Cortex	X530.13	0.70351	4.80118e-5	TXK	Barrett's esophagus	7.14727e-2	1.41531e+0	116	13499
Uterus	X426.2	0.550515	4.80873e-5	MGRN1	Atrioventricular [AV] block	1.63592e-1	1.16901e+0	809	10731
Lung	X327.5	-3.71007	4.81507e-5	PDE8B	Parasomnia	1.26514e-1	3.74209e-1	35	17464
Skin_Sun_Exposed_Lower_leg	X411.3	-1.35547	4.81986e-5	TMEM5	Angina pectoris	1.08056e-2	8.87237e-1	1375	13196
Artery_Tibial	X250.15	-4.57533	4.83074e-5	LILRB1	Diabetes type 1 with peripheral circulatory disorders	4.16369e-2	6.15442e-1	61	13897
Brain_Cerebellum	X159.2	-1.3133	4.84222e-5	CEP41	Malignant neoplasm of small intestine, including duodenum	1.84477e-1	5.85301e-1	78	20027
Skin_Not_Sun_Exposed_Suprapubic	X274.11	1.34622	4.84655e-5	SLC2A9	Gouty arthropathy	4.73063e-2	1.23840e+0	330	21410
Esophagus_Gastroesophageal_Junction	X735.22	2.64124	4.84746e-5	SLC25A15	Claw toe (acquired)	6.93686e-2	1.78795e+0	20	20000
Brain_Cerebellum	X172.21	-0.786515	4.84961e-5	PCSK4	Basal cell carcinoma (new)	1.40871e-1	7.99555e-1	313	19049
Heart_Left_Ventricle	X316	0.378276	4.85903e-5	PTGR1	Substance addiction and disorders	2.50356e-1	1.17404e+0	743	18353
Small_Intestine_Terminal_Ileum	X159	-1.22053	4.85958e-5	EXOC2	Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum	8.28262e-2	8.12660e-1	316	20027
Testis	X117.4	-2.60131	4.86506e-5	MTRF1	Aspergillosis	1.08002e-1	5.42684e-1	56	19642
