tissue	phecode	beta	p-value	gene	trait	r2	no of cases	no of controls
Colon-Sigmoid	X789.1	19.1655	4.10823e-7	GRID2IP	Persistent vomiting	1.30648e-2	43	5912
Stomach	X706.8	9.06372	4.12423e-7	FAM169A	Other specified diseases of sebaceous glands	2.91786e-3	52	8052
SmallIntestine-TerminalIleum	X355.1	1.90229	4.55819e-7	FBXO11	Chronic pain syndrome	7.58199e-2	91	7504
Colon-Sigmoid	X706.8	2.0201	4.65813e-7	FAM169A	Other specified diseases of sebaceous glands	1.97402e-1	52	8052
Cells-EBV-transformedlymphocytes	X189.12	-4.06279	4.69783e-7	FRAS1	Malignant neoplasm of renal pelvis	7.86245e-2	51	8503
Breast-MammaryTissue	X346.1	13.8879	4.76273e-7	HADHA	Nonspecific abnormal findings on radiological and other examination of skull and head	1.22650e-3	30	6544
Brain-Hippocampus	X614.32	-16.4917	5.12979e-7	GABRA4	Chronic inflammatory pelvic disease	4.55217e-3	23	8581
Brain-Cerebellum	X452	1.60879	5.19867e-7	F5	Other venous embolism and thrombosis	4.95253e-3	790	6144
Cells-EBV-transformedlymphocytes	X263	117.09	5.23190e-7	GOLGA8N	Other nutritional deficiency	7.97241e-2	38	6138
Muscle-Skeletal	X706.8	1.64381	5.42393e-7	FAM169A	Other specified diseases of sebaceous glands	1.94582e-1	52	8052
Spleen	X455	0.809186	5.55065e-7	FGD3	Hemorrhoids	1.10883e-1	373	6144
Lung	X455	0.648766	5.58799e-7	FGD3	Hemorrhoids	1.60912e-1	373	6144
Skin-SunExposed-Lowerleg	X444.2	11.0319	5.67807e-7	HELLS	Embolism and thrombosis of abdominal aorta	1.71894e-3	30	6676
Liver	X443.1	-43.361	5.73957e-7	FXYD1	Raynaud's syndrome	3.96345e-2	45	6676
Colon-Transverse	X401.2	4.40753	5.98462e-7	FAM109A	Hypertensive heart and/or renal disease	3.48196e-3	1448	3058
Colon-Transverse	X245	-114.74	6.12018e-7	GAPVD1	Thyroiditis	1.21856e-3	59	7001
Artery-Tibial	X574.12	-7.68006	6.15747e-7	HECTD1	Cholelithiasis with other cholecystitis	1.30733e-3	51	8056
Esophagus-Mucosa	X958.1	10.3029	6.24590e-7	ESCO1	Postoperative shock	6.60465e-3	35	8713
Cells-Transformedfibroblasts	X358	-56.4795	6.58618e-7	FOXP1	Myoneural disorders	1.61342e-2	23	7798
Brain-Cortex	X965	89.8257	6.71597e-7	IQCG	Poisoning by analgesics, antipyretics, and antirheumatics	5.42733e-2	30	6561
Pituitary	X856	4.28738	6.81737e-7	F10	Vascular complications of surgery and medical procedures	5.28877e-2	21	6685
Adipose-Subcutaneous	X706.8	3.81888	6.90603e-7	FAM169A	Other specified diseases of sebaceous glands	5.20741e-2	52	8052
Brain-Hypothalamus	X703.1	-0.340839	7.08222e-7	EXOC4	Ingrowing nail	3.31136e-2	70	8443
Pancreas	X351	1.26498	7.12648e-7	FABP9	Other peripheral nerve disorders	5.01920e-2	660	7504
Artery-Aorta	X758.1	4.26428	7.16929e-7	HPGD	Chromosomal anomalies	5.29191e-3	21	8947
Lung	X709.3	28.1633	7.46800e-7	GAPDH	Systemic sclerosis	4.81243e-3	22	8930
Testis	X817	-2.62783	7.51943e-7	FMOD	Concussion	4.65967e-2	29	8639
Muscle-Skeletal	X451.2	3.20796	7.54206e-7	IMPG1	Phlebitis and thrombophlebitis of lower extremities	2.10601e-2	88	6144
Thyroid	X528.1	-9.4647	7.73869e-7	FRY	Stomatitis and mucositis	1.54473e-3	226	8257
Artery-Aorta	X574.11	31.3421	8.62491e-7	HOOK3	Cholelithiasis with acute cholecystitis	4.60785e-3	25	8056
Brain-Caudate-basalganglia	X792.1	-2.57913	8.73955e-7	IL18RAP	Papanicolaou smear of cervix or vagina with atypical squamous cells	4.79551e-3	80	8724
Brain-CerebellarHemisphere	X227.3	2.2811	8.96754e-7	HNRNPC	Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	1.01809e-1	54	8574
Cells-Transformedfibroblasts	X444.2	-22.4291	8.98408e-7	FAM102A	Embolism and thrombosis of abdominal aorta	1.42131e-3	30	6676
Breast-MammaryTissue	X803.3	5.37843	9.24983e-7	GINS2	Fracture of clavicle or scapula	1.02004e-2	69	7283
Muscle-Skeletal	X458.9	-1.91101	9.65357e-7	EVA1A	Hypotension NOS	1.87413e-3	906	6597
Pancreas	X872	9.56694	1.05640e-6	GLCCI1	Traumatic amputation	1.65003e-3	46	7534
Colon-Transverse	X340	-14.3008	1.07157e-6	GAS1	Migraine	3.77050e-3	323	8495
Lung	X782.6	33.1418	1.08473e-6	GAPDH	Pallor and flushing	4.81243e-3	29	6796
Esophagus-Mucosa	X363	-10.9345	1.11770e-6	GDF15	Chorioretinal inflammations, scars, and other disorders of choroid	5.29820e-3	26	7724
Lung	X159.3	-14.5551	1.14756e-6	FAM209B	Malignant neoplasm of gallbladder and extrahepatic bile ducts	1.62264e-3	34	8073
Brain-Hypothalamus	X264.2	-33.6531	1.18628e-6	FOXD4L1	Failure to thrive (childhood)	8.57748e-2	73	6138
Pancreas	X613.8	44.13	1.24938e-6	GABRA4	Other specified disorders of breast	3.86358e-3	81	8018
Heart-LeftVentricle	X613.1	-7.19626	1.29151e-6	GPRC5D	Inflammatory disease of breast	2.52007e-2	33	8018
Brain-FrontalCortex-BA9	X193	-1.09118	1.30080e-6	IBSP	Thyroid cancer	4.29257e-1	97	8718
Artery-Coronary	X375.1	0.133297	1.30182e-6	FGB	Dry eyes	5.91096e-2	233	7801
Colon-Sigmoid	X758.1	0.582992	1.31264e-6	GXYLT1	Chromosomal anomalies	4.54928e-2	21	8947
Brain-Caudate-basalganglia	X352.2	-3.9991	1.31838e-6	GPAM	Facial nerve disorders [CN7]	2.61765e-2	68	7504
Artery-Coronary	X446.4	-1.83275	1.32170e-6	GTPBP10	Wegener's granulomatosis	1.02473e-1	30	6676
SmallIntestine-TerminalIleum	X709.2	1.71661	1.33023e-6	GMPR2	Sicca syndrome	3.98106e-2	44	8930
AdrenalGland	X204.22	0.225432	1.36686e-6	GHR	Myeloid leukemia, chronic	1.83434e-2	48	8016
Esophagus-Mucosa	X627.5	6.64735	1.37950e-6	GABRA2	Premature menopause and other ovarian failure	3.90143e-3	24	7657
Brain-Hypothalamus	X967	0.493446	1.38187e-6	FIS1	Adverse effects of sedatives or other central nervous system depressants and anesthetics	1.60832e-1	40	6561
Cells-EBV-transformedlymphocytes	X527	-28.8034	1.40619e-6	FOXJ3	Diseases of the salivary glands	1.09736e-1	72	8257
SmallIntestine-TerminalIleum	X540.1	-9.06578	1.41280e-6	H2AFV	Appendicitis	2.89722e-2	53	9038
Muscle-Skeletal	X513.31	-3.7971	1.42021e-6	ETAA1	Apnea	6.48403e-2	32	7861
Esophagus-GastroesophagealJunction	X394.1	-0.102212	1.50219e-6	GSDMD	Mitral valve stenosis and aortic valve stenosis	1.54905e-1	83	7079
Lung	X190	6.20784	1.55446e-6	GOLT1A	Cancer of eye	2.09193e-2	24	8655
Brain-Caudate-basalganglia	X345.12	6.14196	1.56637e-6	GPR162	Partial epilepsy	1.94056e-3	122	6544
AdrenalGland	X722.7	0.682438	1.59348e-6	IRF1	Intervertebral disc disorder with myelopathy	9.76942e-2	31	6852
Colon-Sigmoid	X81.12	-5.1697	1.59782e-6	HOXD10	Chronic graft-versus-host disease	5.61835e-3	24	7508
Brain-Cortex	X191	-2.54934	1.59923e-6	IGF2	Malignant and unknown neoplasms of brain and nervous system	1.06435e-2	174	8655
Esophagus-Mucosa	X278.4	21.1497	1.62651e-6	FRYL	Abnormal weight gain	6.22903e-3	124	6887
Brain-Hippocampus	X302	7.37961	1.62888e-6	GADD45G	Sexual and gender identity disorders	1.11527e-2	25	5392
Brain-Hypothalamus	X740.11	0.867377	1.66380e-6	FAM162A	Osteoarthrosis, localized, primary	6.41411e-2	501	6692
Brain-FrontalCortex-BA9	X352	0.0327977	1.66406e-6	GLTSCR1L	Disorders of other cranial nerves	2.23527e-1	148	7504
Heart-AtrialAppendage	X364.5	3.29632	1.67430e-6	FMNL2	Corneal dystrophy	3.78071e-2	25	7724
Esophagus-Muscularis	X455	3.84279	1.71380e-6	FGD3	Hemorrhoids	6.47590e-3	373	6144
Brain-Hippocampus	X172.22	-21.4744	1.73232e-6	GAPVD1	Squamous cell carcinoma	6.13626e-2	83	7391
Thyroid	X275.6	-10.3431	1.75898e-6	FRY	Hypercalcemia	1.54473e-3	147	7588
Ovary	X859	0.798714	1.81396e-6	GPAM	Complication due to other implant and internal device	6.40928e-2	197	6685
Heart-AtrialAppendage	X624	3.1238	1.92893e-6	GNRHR	Symptoms involving female genital tract	1.80816e-2	31	8364
Testis	X455	0.550295	1.93736e-6	FGD3	Hemorrhoids	1.10496e-1	373	6144
Colon-Sigmoid	X728.7	5.052	1.99843e-6	HECTD1	Fasciitis	8.43942e-3	114	6730
Brain-Putamen-basalganglia	X290.16	-11.7315	2.07982e-6	HOPX	Vascular dementia	7.66760e-2	54	6654
Colon-Transverse	X722	-0.432262	2.11654e-6	FRA10AC1	Intervertebral disc disorders	2.22379e-1	800	6852
Pancreas	X361.1	2.99557	2.13004e-6	GPR19	Retinal detachment with retinal defect	5.63598e-2	43	7724
Muscle-Skeletal	X722	-0.396131	2.15072e-6	FRA10AC1	Intervertebral disc disorders	2.42981e-1	800	6852
Brain-CerebellarHemisphere	X626.2	10.771	2.19571e-6	FOXI2	Dysmenorrhea	1.18157e-3	45	7657
Stomach	X789.1	-3.03816	2.25816e-6	GPR1	Persistent vomiting	2.22865e-2	43	5912
Cells-EBV-transformedlymphocytes	X253.5	-33.3064	2.25895e-6	FOXJ3	Pituitary dwarfism	1.09736e-1	28	7558
Esophagus-Muscularis	X912	4.75811	2.26519e-6	GPR26	Insect bite	5.36033e-2	29	8855
Esophagus-Muscularis	X270.38	8.13082	2.29333e-6	HOXD13	Other specified disorders of plasma protein metabolism	3.67769e-3	42	8239
Esophagus-Muscularis	X875	-4.4054	2.46155e-6	FNIP1	Non-healing surgical wound	1.53993e-2	80	7534
Stomach	X706.8	-5.60859	2.51826e-6	GFM2	Other specified diseases of sebaceous glands	5.76387e-3	52	8052
Brain-Hippocampus	X323.8	2.50644	2.53146e-6	HRC	Encephalitis, non-infectious	1.35294e-2	22	8848
Thyroid	X603.1	-6.47653	2.53488e-6	IMP4	Hydrocele	5.53735e-3	43	8178
Colon-Sigmoid	X818.2	3.71641	2.53971e-6	FOXR1	Subarachnoid hemorrhage (injury)	5.63094e-3	37	8639
Testis	X972	-14.3208	2.54882e-6	HARS	Poisoning by agents primarily affecting the cardiovascular system	1.05401e-2	117	6561
SmallIntestine-TerminalIleum	X394.1	-0.0364216	2.56873e-6	GSDMD	Mitral valve stenosis and aortic valve stenosis	1.69026e-1	83	7079
Pituitary	X433.2	1.66412	2.57287e-6	GLT8D1	Occlusion of cerebral arteries	8.32932e-3	366	6934
Cells-EBV-transformedlymphocytes	X615	-82.5715	2.60011e-6	EVI5	Endometriosis	1.53349e-2	50	8581
Ovary	X700	3.14103	2.60721e-6	HOOK3	Corns and callosities	5.09142e-3	52	7128
Brain-Cerebellum	X451.2	3.33506	2.65389e-6	F5	Phlebitis and thrombophlebitis of lower extremities	4.95253e-3	88	6144
AdrenalGland	X709.2	27.2837	2.71630e-6	INHA	Sicca syndrome	3.55974e-2	44	8930
Esophagus-Mucosa	X441	8.54253	2.72783e-6	FIBIN	Vascular insufficiency of intestine	2.61863e-3	75	6676
Testis	X286.6	2.53173	2.79360e-6	FNIP1	Defibrination syndrome	2.51218e-2	29	5981
Artery-Aorta	X145.3	-46.5228	2.79541e-6	GATAD2B	Cancer of major salivary glands	1.22434e-3	30	8031
Brain-Hypothalamus	X712	0.493684	2.80190e-6	FIS1	Infective connective tissue disorders	1.60832e-1	32	7311
Skin-NotSunExposed-Suprapubic	X722.8	1.09544	2.93395e-6	GPHA2	Postlaminectomy syndrome	1.71823e-2	118	6852
Pancreas	X610.1	35.6512	2.95779e-6	GABRA4	Cystic mastopathy	3.86358e-3	156	7907
AdrenalGland	X275.53	0.603828	2.96276e-6	ESRP2	Disorders of phosphorus metabolism	8.64373e-2	293	7588
Brain-Cortex	X568.1	-25.5794	3.04147e-6	HNRNPC	Peritoneal adhesions (postoperative) (postinfection)	9.53415e-2	96	7242
Ovary	X695.7	91.6037	3.08394e-6	FBXL22	Prurigo and Lichen	2.59619e-3	23	7590
Adipose-Subcutaneous	X224.1	103.78	3.10129e-6	FAM150A	Benign neoplasm of eye, uveal	2.43962e-2	21	8520
Skin-SunExposed-Lowerleg	X635	-5.63392	3.11769e-6	HOXA4	Hemorrhage during pregnancy; childbirth and postpartum	5.02337e-3	21	8943
Skin-SunExposed-Lowerleg	X426.4	-3.30322	3.15826e-6	ERN1	Anomalous atrioventricular excitation	3.79434e-3	70	4456
Testis	X351	-11.5341	3.19608e-6	FANCE	Other peripheral nerve disorders	1.57214e-2	660	7504
Heart-AtrialAppendage	X358.1	6.19536	3.19882e-6	HS3ST3B1	Myasthenia gravis	4.82739e-2	20	7798
Brain-Anteriorcingulatecortex-BA24	X593.2	3.1937	3.25061e-6	GTF3C2	Microscopic hematuria	2.52930e-3	60	5793
Testis	X860	-1.59045	3.27088e-6	IKBKB	Bone marrow or stem cell transplant	2.03877e-2	198	8873
Colon-Sigmoid	X735	2.57449	3.28701e-6	IL19	Acquired foot deformities	7.63022e-3	351	7256
Brain-Putamen-basalganglia	X712	-1.58349	3.31064e-6	HRNR	Infective connective tissue disorders	2.62233e-1	32	7311
Cells-Transformedfibroblasts	X758	2.2722	3.36736e-6	HARS	Chromosomal anomalies and genetic disorders	6.42119e-2	31	8947
Esophagus-Mucosa	X514.1	11.1002	3.38318e-6	GPSM1	Abnormal results of function study of pulmonary system	2.21003e-3	24	7886
Brain-Putamen-basalganglia	X575.1	-15.354	3.43731e-6	HIPK1	Cholangitis	2.77371e-3	57	8056
Muscle-Skeletal	X286.12	4.29678	3.46530e-6	IMPG1	Congenital deficiency of other clotting factors (including factor VII)	2.10601e-2	24	5981
Brain-FrontalCortex-BA9	X594.3	13.43	3.50977e-6	HNF1A	Calculus of ureter	1.57367e-1	126	8065
Brain-Hippocampus	X420.3	40.8454	3.54996e-6	GALNTL5	Endocarditis	2.25235e-2	104	7787
Lung	X709.6	31.0706	3.60477e-6	GAPDH	Other specified diffuse diseases of connective tissue	4.81243e-3	24	8930
AdrenalGland	X367.1	16.3685	3.61596e-6	GLI4	Myopia	6.48215e-3	227	8335
Brain-Nucleusaccumbens-basalganglia	X876	9.6645	3.75113e-6	IL10	Posttraumatic wound infection not elsewhere classified	8.58046e-3	43	7534
Brain-Cortex	X251	2.53577	3.76389e-6	GAD2	Other disorders of pancreatic internal secretion	2.99202e-2	90	7558
Cells-Transformedfibroblasts	X250.41	-2.52139	3.78946e-6	HFE	Impaired fasting glucose	2.32791e-3	83	4936
Adipose-Subcutaneous	X8.6	-1.85062	3.81023e-6	GCLC	Viral Enteritis	3.78896e-2	64	8317
Colon-Transverse	X938	-1.76011	3.83075e-6	HOXA10	Dermatitis due to solar radiation	1.11344e-2	149	7230
Colon-Sigmoid	X362.7	0.560588	3.95432e-6	GXYLT1	Hereditary retinal dystrophies	4.54928e-2	21	7724
Brain-Hippocampus	X315.2	3.49182	3.95460e-6	HECTD3	Speech and language disorder	1.27938e-2	21	8646
Brain-Hypothalamus	X790.6	-7.89002	3.95914e-6	FAM161A	Other abnormal blood chemistry	8.52962e-2	660	7554
Brain-Caudate-basalganglia	X727.7	0.110946	3.96472e-6	HIST1H2BJ	Contracture of tendon (sheath)	1.91643e-2	30	6730
Liver	X772.1	-5.68109	3.98656e-6	ERN1	Muscular wasting and disuse atrophy	1.36111e-3	33	7828
Brain-FrontalCortex-BA9	X215	42.3875	4.02629e-6	H2AFZ	Other benign neoplasm of connective and other soft tissue	1.75245e-2	28	8688
AdrenalGland	X560	-0.530039	4.03805e-6	FSD2	Intestinal obstruction without mention of hernia	6.32352e-3	544	5956
Brain-CerebellarHemisphere	X263	-6.82099	4.09456e-6	HBS1L	Other nutritional deficiency	1.46686e-3	38	6138
Spleen	X745	0.54521	4.09804e-6	FAN1	Pain in joint	3.07635e-2	2978	5105
Pancreas	X571	-4.74601	4.18744e-6	H2AFV	Chronic liver disease and cirrhosis	5.23324e-3	463	6421
Brain-FrontalCortex-BA9	X459.9	0.409963	4.19714e-6	IGSF22	Circulatory disease NEC	2.43539e-1	232	6597
Esophagus-GastroesophagealJunction	X253.1	-71.4125	4.22086e-6	HRC	Pituitary hyperfunction	3.54076e-2	33	7558
Colon-Sigmoid	X362.9	-3.59933	4.27819e-6	INSIG2	Retinal edema	9.76881e-3	48	7724
AdrenalGland	X340.1	-1.99559	4.31008e-6	FAM229A	Migrain with aura	3.23943e-2	44	8495
Esophagus-Mucosa	X416	-2.62724	4.35916e-6	GPSM1	Cardiomegaly	2.21003e-3	865	6945
SmallIntestine-TerminalIleum	X420.21	-9.99006	4.35942e-6	H2AFV	Acute pericarditis	2.89722e-2	34	7787
Brain-Hypothalamus	X379.3	-0.254543	4.36829e-6	GPSM1	Aphakia and other disorders of lens	1.41614e-2	20	7801
Stomach	X204.22	91.1319	4.38144e-6	HTRA2	Myeloid leukemia, chronic	6.28932e-2	48	8016
Cells-EBV-transformedlymphocytes	X41.11	0.572602	4.42887e-6	FOXN2	Methicillin sensitive Staphylococcus aureus	1.78466e-1	371	6607
Adipose-Subcutaneous	X980	-2.0806	4.45925e-6	HRC	Encounter for long-term (current) use of antibiotics	1.75662e-2	443	8129
Esophagus-Mucosa	X713.5	-7.07929	4.48170e-6	GID4	Arthropathy associated with neurological disorders	3.96835e-3	58	7311
Brain-Cerebellum	X41.11	0.381015	4.51330e-6	FOXN2	Methicillin sensitive Staphylococcus aureus	5.12057e-1	371	6607
Brain-FrontalCortex-BA9	X352.2	0.0369428	4.53092e-6	GLTSCR1L	Facial nerve disorders [CN7]	2.23527e-1	68	7504
Colon-Transverse	X938.2	-1.78041	4.54131e-6	HOXA10	Chronic dermatitis due to solar radiation	1.11344e-2	141	7230
Artery-Aorta	X374.1	2.88663	4.56685e-6	FAM131B	Ectropion or entropion	8.35739e-2	34	7798
Pancreas	X611.1	25.6212	4.59041e-6	GABRA4	Abnormal mammogram	3.86358e-3	444	8102
Artery-Aorta	X286.1	1.75602	4.60317e-6	HN1L	Congenital coagulation defects	5.25570e-2	34	5981
Adipose-Subcutaneous	X224	96.6264	4.60774e-6	FAM150A	Benign neoplasm of eye	2.43962e-2	24	8520
Thyroid	X526.9	-3.68036	4.61864e-6	GSDMC	Jaw disease NOS	1.55510e-1	38	8243
Ovary	X70.4	-22.8158	4.61926e-6	FAM149B1	Chronic hepatitis	1.15363e-1	56	7233
Testis	X272	-0.762537	4.62058e-6	GDF2	Disorders of lipoid metabolism	1.94021e-2	3691	4667
Nerve-Tibial	X736	-2.55187	4.63744e-6	ITGA2	Other acquired deformities of limbs	3.98082e-2	53	7256
Brain-CerebellarHemisphere	X291.4	2.57576	4.65986e-6	HIP1R	Specific nonpsychotic mental disorders due to brain damage	8.23812e-2	22	6654
SmallIntestine-TerminalIleum	X540	-8.62372	4.68292e-6	H2AFV	Appendiceal conditions	2.89722e-2	57	9038
Brain-Cerebellum	X696.41	-0.91583	4.74969e-6	IQCB1	Psoriasis vulgaris	1.91594e-1	106	7172
Brain-CerebellarHemisphere	X227	1.73854	4.78355e-6	HNRNPC	Benign neoplasm of other endocrine glands and related structures	1.01809e-1	86	8574
Artery-Tibial	X165.1	-1.27102	4.80013e-6	INSIG2	Cancer of bronchus; lung	3.46134e-2	308	8627
Testis	X272.1	-0.761772	4.84445e-6	GDF2	Hyperlipidemia	1.94021e-2	3675	4667
Cells-EBV-transformedlymphocytes	X526.5	-0.425646	4.90612e-6	IL21R	Inflammatory conditions of jaw	2.14244e-3	20	8243
Brain-Hypothalamus	X621	-1.67117	4.91804e-6	GCNT7	Endometrial hyperplasia	3.11673e-2	24	8951
Ovary	X686.2	5.94197	4.99274e-6	FARSB	Impetigo	2.08171e-2	20	6905
Nerve-Tibial	X70.9	1.73892	5.24298e-6	FAM170A	Hepatitis NOS	7.56959e-2	85	7233
Brain-Cortex	X722	-0.374351	5.27062e-6	FRA10AC1	Intervertebral disc disorders	2.33338e-1	800	6852
Stomach	X198.4	0.589088	5.30463e-6	GNAL	Secondary malignant neoplasm of liver	6.04381e-2	255	6274
Brain-FrontalCortex-BA9	X426.2	-1.30426	5.34643e-6	FAM110C	Atrioventricular [AV] block	2.14385e-2	302	4456
Skin-NotSunExposed-Suprapubic	X427.8	3.1072	5.37812e-6	GAS1	Sinoatrial node dysfunction (Bradycardia)	1.26517e-2	363	4456
Brain-Cortex	X550.1	1.49359	5.39858e-6	IGFN1	Inguinal hernia	2.74614e-2	170	7524
Colon-Transverse	X292.2	-22.2602	5.41973e-6	GUCA1B	Mild cognitive impairment	2.35777e-3	21	6654
AdrenalGland	X429.9	3.29448	5.44845e-6	FCRL1	Cardiac complications, not elsewhere classified	5.82316e-2	49	6286
Heart-LeftVentricle	X279.11	3.5797	5.46758e-6	FABP9	Deficiency of humoral immunity	1.31667e-2	57	8183
Brain-Cerebellum	X513.8	0.0440115	5.48013e-6	GUK1	Disorders of diaphragm	1.51438e-1	33	7861
Spleen	X703.1	6.49099	5.56685e-6	HIST1H2BJ	Ingrowing nail	1.21371e-2	70	8443
Esophagus-Mucosa	X801	1.00863	5.58380e-6	GALNT16	Fracture of ankle and foot	2.19795e-2	346	7283
Esophagus-Mucosa	X455	0.666273	5.63223e-6	FGD3	Hemorrhoids	1.47947e-1	373	6144
Esophagus-Muscularis	X427.6	0.884322	5.64732e-6	FAM153C	Premature beats	2.93844e-1	157	4456
Brain-Hippocampus	X709	1.20691	5.71720e-6	HRC	Diffuse diseases of connective tissue	1.35294e-2	135	8930
Thyroid	X290.11	-1.28697	5.72473e-6	FAM181A	Alzheimer's disease	1.30114e-1	121	6654
Brain-Hypothalamus	X772.4	8.47768	5.72635e-6	GPR83	Rhabdomyolysis	3.85552e-2	35	7828
Esophagus-GastroesophagealJunction	X427.6	1.29691	5.75605e-6	FAM153C	Premature beats	2.08771e-1	157	4456
Brain-Hippocampus	X218.1	-1.77907	5.76639e-6	FAM169A	Uterine leiomyoma	9.17268e-2	96	8316
Brain-Nucleusaccumbens-basalganglia	X856	1.57577	5.77997e-6	GGN	Vascular complications of surgery and medical procedures	3.08407e-3	21	6685
Colon-Sigmoid	X455	-1.1068	5.79671e-6	FAM120A	Hemorrhoids	4.25864e-2	373	6144
Artery-Coronary	X70.9	2.07298	5.83694e-6	FAM170A	Hepatitis NOS	9.30679e-2	85	7233
Thyroid	X426.32	-6.19877	5.85598e-6	GCH1	Left bundle branch block	2.24267e-3	136	4456
Colon-Transverse	X573.2	-2.68276	5.87085e-6	EXD3	Liver replaced by transplant	4.48341e-2	147	6421
Liver	X711.1	1.9429	5.87272e-6	FAM169A	Pyogenic arthritis	9.40536e-3	79	7311
Lung	X264.3	31.3652	5.88339e-6	GPRIN1	Delayed milestones	8.52855e-3	28	6138
Colon-Transverse	X369.5	-7.94669	5.89390e-6	FAM86B2	Conjunctivitis, infectious	6.90668e-3	82	7798
Heart-LeftVentricle	X755	-1.86097	5.99000e-6	IQCB1	Congenital anomalies of limbs	2.49529e-1	36	8811
SmallIntestine-TerminalIleum	X540.11	-9.48003	6.03103e-6	H2AFV	Acute appendicitis	2.89722e-2	38	9038
Brain-FrontalCortex-BA9	X580.12	-3.82527	6.03673e-6	GRHPR	Non-proliferative glomerulonephritis	1.75263e-3	40	5644
Brain-FrontalCortex-BA9	X938.2	2.12405	6.08304e-6	HOXA4	Chronic dermatitis due to solar radiation	1.53152e-2	141	7230
SmallIntestine-TerminalIleum	X535.2	1.3405	6.11254e-6	GRM1	Atrophic gastritis	2.28112e-3	34	7579
Brain-FrontalCortex-BA9	X395.3	2.69282	6.11670e-6	FGD3	Nonrheumatic tricuspid valve disorders	2.20563e-2	76	7079
Brain-Cortex	X728.71	83.9968	6.13679e-6	IQCG	Contracture of palmar fascia [Dupuytren's disease]	5.42733e-2	33	6730
Brain-Hippocampus	X722	-0.417219	6.18829e-6	FRA10AC1	Intervertebral disc disorders	2.20103e-1	800	6852
Brain-FrontalCortex-BA9	X574.2	-25.3055	6.20972e-6	INO80D	Calculus of bile duct	6.01077e-2	67	8056
Testis	X530.1	-2.15339	6.31743e-6	GRPEL2	Esophagitis, GERD and related diseases	1.17743e-2	2022	5130
Brain-Putamen-basalganglia	X510.2	23.5636	6.32019e-6	GLB1L3	Lung transplant	3.60787e-2	74	7177
Brain-Cerebellum	X228.1	3.19193	6.33452e-6	FAM167A	Hemangioma of skin and subcutaneous tissue	1.02816e-2	40	8746
Brain-Anteriorcingulatecortex-BA24	X722	-0.63945	6.33949e-6	FRA10AC1	Intervertebral disc disorders	1.66143e-1	800	6852
Lung	X860	7.43537	6.40124e-6	GBA	Bone marrow or stem cell transplant	5.80514e-3	198	8873
Pituitary	X136	-56.146	6.40698e-6	GSDMD	Other infectious and parasitic diseases	1.57471e-1	70	8712
Liver	X214	-5.29732	6.40933e-6	FBXO25	Lipoma	7.12867e-3	84	8688
Thyroid	X942	-13.3075	6.41518e-6	FRY	Infusion and transfusion reaction	1.54473e-3	38	7230
Pituitary	X355	-14.0648	6.44162e-6	GTF3C2	Complex regional/central pain syndrome	3.61977e-2	56	7504
Brain-Hippocampus	X603	8.84731	6.51311e-6	G0S2	Other disorders of testis	2.27785e-2	56	8178
Liver	X771.2	-0.18313	6.59350e-6	HYOU1	Cramp of limb	4.92814e-2	50	7238
Cells-Transformedfibroblasts	X358.1	-55.2181	6.62239e-6	FOXP1	Myasthenia gravis	1.61342e-2	20	7798
Cells-Transformedfibroblasts	X323.8	4.65493	6.68433e-6	HECTD2	Encephalitis, non-infectious	3.30373e-2	22	8848
Pancreas	X264.1	5.16207	6.69793e-6	GTF3C2	Short stature	4.93122e-3	35	6138
Colon-Sigmoid	X429	-3.11991	6.71092e-6	FAM161A	Ill-defined descriptions and complications of heart disease	3.19723e-3	461	6286
Spleen	X253	3.90667	6.78936e-6	HADHA	Disorders of the pituitary gland and its hypothalamic control	2.71900e-3	149	7558
AdrenalGland	X797.1	2.21464	6.82024e-6	FAM86B2	Cardiogenic shock	8.13985e-2	115	8462
Nerve-Tibial	X571.51	3.45972	6.83351e-6	GPR182	Cirrhosis of liver without mention of alcohol	1.91563e-3	281	6421
Thyroid	X345.11	-3.46751	6.92352e-6	EVI5	Generalized convulsive epilepsy	8.04975e-3	87	6544
Stomach	X70.9	2.6022	6.94122e-6	FAM170A	Hepatitis NOS	3.19505e-2	85	7233
